tournament_id,match_id,match_date,goal_order,team_name,opponent_name,home_away,player_name,player_page,minute_regulation,minute_stoppage,penalty,own_goal,source_page,source_revision
WC-2026,M-2026-001,2026-06-11,1,Mexico,South Africa,home,Quiñones,Julián Quiñones,9,,0,0,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,M-2026-001,2026-06-11,2,Mexico,South Africa,home,Jiménez,Raúl Jiménez,67,,0,0,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,M-2026-002,2026-06-11,1,South Korea,Czech Republic,home,Hwang In-beom,Hwang In-beom,67,,0,0,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,M-2026-002,2026-06-11,2,South Korea,Czech Republic,home,Oh Hyeon-gyu,Oh Hyeon-gyu,80,,0,0,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,M-2026-002,2026-06-11,3,Czech Republic,South Korea,away,Krejčí,"Ladislav Krejčí (footballer, born 1999)",59,,0,0,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,M-2026-003,2026-06-12,1,Canada,Bosnia and Herzegovina,home,Larin,Cyle Larin,78,,0,0,2026_FIFA_World_Cup_Group_B,1368282937
WC-2026,M-2026-003,2026-06-12,2,Bosnia and Herzegovina,Canada,away,Lukić,Jovo Lukić,21,,0,0,2026_FIFA_World_Cup_Group_B,1368282937
WC-2026,M-2026-004,2026-06-12,1,United States,Paraguay,home,Bobadilla,Damián Bobadilla,7,,0,1,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-004,2026-06-12,2,United States,Paraguay,home,Balogun,Folarin Balogun,31,,0,0,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-004,2026-06-12,3,United States,Paraguay,home,Balogun,Folarin Balogun,45,5.0,0,0,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-004,2026-06-12,4,United States,Paraguay,home,Reyna,Giovanni Reyna,90,8.0,0,0,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-004,2026-06-12,5,Paraguay,United States,away,Maurício,"Maurício (footballer, born 2001)",73,,0,0,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-005,2026-06-13,1,Qatar,Switzerland,home,Muheim,Miro Muheim,90,4.0,0,1,2026_FIFA_World_Cup_Group_B,1368282937
WC-2026,M-2026-005,2026-06-13,2,Switzerland,Qatar,away,Embolo,Breel Embolo,17,,1,0,2026_FIFA_World_Cup_Group_B,1368282937
WC-2026,M-2026-006,2026-06-13,1,Brazil,Morocco,home,Vinícius,Vinícius Júnior,32,,0,0,2026_FIFA_World_Cup_Group_C,1368283749
WC-2026,M-2026-006,2026-06-13,2,Morocco,Brazil,away,Saibari,Ismael Saibari,21,,0,0,2026_FIFA_World_Cup_Group_C,1368283749
WC-2026,M-2026-007,2026-06-13,1,Australia,Turkey,home,Irankunda,Nestory Irankunda,27,,0,0,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-007,2026-06-13,2,Australia,Turkey,home,Metcalfe,Connor Metcalfe,75,,0,0,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,M-2026-008,2026-06-13,1,Scotland,Haiti,away,McGinn,John McGinn,28,,0,0,2026_FIFA_World_Cup_Group_C,1368283749
WC-2026,M-2026-009,2026-06-14,1,Germany,Curaçao,home,Nmecha,Felix Nmecha,6,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,2,Germany,Curaçao,home,Schlotterbeck,Nico Schlotterbeck,38,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,3,Germany,Curaçao,home,Havertz,Kai Havertz,45,5.0,1,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,4,Germany,Curaçao,home,Havertz,Kai Havertz,88,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,5,Germany,Curaçao,home,Musiala,Jamal Musiala,47,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,6,Germany,Curaçao,home,Brown,Nathaniel Brown (footballer),68,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,7,Germany,Curaçao,home,Undav,Deniz Undav,78,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-009,2026-06-14,8,Curaçao,Germany,away,Comenencia,Livano Comenencia,21,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-010,2026-06-14,1,Netherlands,Japan,home,Van Dijk,Virgil van Dijk,51,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-010,2026-06-14,2,Netherlands,Japan,home,Summerville,Crysencio Summerville,64,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-010,2026-06-14,3,Japan,Netherlands,away,Nakamura,Keito Nakamura,57,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-010,2026-06-14,4,Japan,Netherlands,away,Kamada,Daichi Kamada,88,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-011,2026-06-14,1,Ivory Coast,Ecuador,home,Diallo,Amad Diallo,90,,0,0,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,M-2026-012,2026-06-14,1,Sweden,Tunisia,home,Ayari,Yasin Ayari,7,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-012,2026-06-14,2,Sweden,Tunisia,home,Ayari,Yasin Ayari,90,6.0,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-012,2026-06-14,3,Sweden,Tunisia,home,Isak,Alexander Isak,30,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-012,2026-06-14,4,Sweden,Tunisia,home,Gyökeres,Viktor Gyökeres,59,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-012,2026-06-14,5,Sweden,Tunisia,home,Svanberg,Mattias Svanberg,84,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-012,2026-06-14,6,Tunisia,Sweden,away,Rekik,Omar Rekik,43,,0,0,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,M-2026-013,2026-06-15,1,Belgium,Egypt,home,Hany,Mohamed Hany,66,,0,1,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,M-2026-013,2026-06-15,2,Egypt,Belgium,away,Ashour,Emam Ashour,19,,0,0,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,M-2026-015,2026-06-15,1,Iran,New Zealand,home,Rezaeian,Ramin Rezaeian,32,,0,0,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,M-2026-015,2026-06-15,2,Iran,New Zealand,home,Mohebi,Mohammad Mohebi,64,,0,0,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,M-2026-015,2026-06-15,3,New Zealand,Iran,away,Just,Elijah Just,7,,0,0,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,M-2026-015,2026-06-15,4,New Zealand,Iran,away,Just,Elijah Just,54,,0,0,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,M-2026-016,2026-06-15,1,Saudi Arabia,Uruguay,home,Al-Amri,Abdulelah Al-Amri,41,,0,0,2026_FIFA_World_Cup_Group_H,1368285642
WC-2026,M-2026-016,2026-06-15,2,Uruguay,Saudi Arabia,away,M. Araújo,Maximiliano Araújo,80,,0,0,2026_FIFA_World_Cup_Group_H,1368285642
WC-2026,M-2026-017,2026-06-16,1,France,Senegal,home,Mbappé,Kylian Mbappé,66,,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-017,2026-06-16,2,France,Senegal,home,Mbappé,Kylian Mbappé,90,6.0,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-017,2026-06-16,3,France,Senegal,home,Barcola,Bradley Barcola,82,,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-017,2026-06-16,4,Senegal,France,away,Mbaye,Ibrahim Mbaye,90,5.0,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-018,2026-06-16,1,Iraq,Norway,home,Hussein,Aymen Hussein,39,,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-018,2026-06-16,2,Norway,Iraq,away,Haaland,Erling Haaland,29,,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-018,2026-06-16,3,Norway,Iraq,away,Haaland,Erling Haaland,43,,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-018,2026-06-16,4,Norway,Iraq,away,Østigård,Leo Østigård,76,,0,0,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-018,2026-06-16,5,Norway,Iraq,away,Hussein,Aymen Hussein,90,6.0,0,1,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,M-2026-019,2026-06-16,1,Argentina,Algeria,home,Messi,Lionel Messi,17,,0,0,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,M-2026-019,2026-06-16,2,Argentina,Algeria,home,Messi,Lionel Messi,60,,0,0,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,M-2026-019,2026-06-16,3,Argentina,Algeria,home,Messi,Lionel Messi,76,,0,0,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,M-2026-020,2026-06-16,1,Austria,Jordan,home,Schmid,Romano Schmid,20,,0,0,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,M-2026-020,2026-06-16,2,Austria,Jordan,home,Al-Arab,Yazan Al-Arab,76,,0,1,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,M-2026-020,2026-06-16,3,Austria,Jordan,home,Arnautović,Marko Arnautović,90,12.0,1,0,2026_FIFA_World_Cup_Group_J,1368286276
