tournament_id,tournament_name,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,attendance,referee,source_page,source_revision
WC-2026,2026 FIFA Men's World Cup,M-2026-001,Mexico vs South Africa,group stage,Group A,2026-06-11,1:00 p.m. UTC−6,Estadio Azteca,Mexico City,Mexico,South Africa,2–0,2,0,0,0,,,80824,Wilton Sampaio,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,2026 FIFA Men's World Cup,M-2026-002,South Korea vs Czech Republic,group stage,Group A,2026-06-11,8:00 p.m. UTC−6,Estadio Akron,Zapopan,South Korea,Czech Republic,2–1,2,1,0,0,,,44985,Amin Omar,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,2026 FIFA Men's World Cup,M-2026-003,Canada vs Bosnia and Herzegovina,group stage,Group B,2026-06-12,3:00 p.m. UTC−4,BMO Field,Toronto,Canada,Bosnia and Herzegovina,1–1,1,1,0,0,,,43002,Facundo Tello,2026_FIFA_World_Cup_Group_B,1368282937
WC-2026,2026 FIFA Men's World Cup,M-2026-004,United States vs Paraguay,group stage,Group D,2026-06-12,6:00 p.m.,SoFi Stadium,Inglewood,United States,Paraguay,4–1,4,1,0,0,,,70492,Danny Makkelie,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,2026 FIFA Men's World Cup,M-2026-005,Qatar vs Switzerland,group stage,Group B,2026-06-13,12:00 p.m. UTC−7,Levi's Stadium,Santa Clara,Qatar,Switzerland,1–1,1,1,0,0,,,67966,Saíd Martínez,2026_FIFA_World_Cup_Group_B,1368282937
WC-2026,2026 FIFA Men's World Cup,M-2026-006,Brazil vs Morocco,group stage,Group C,2026-06-13,6:00 p.m.,MetLife Stadium,East Rutherford,Brazil,Morocco,1–1,1,1,0,0,,,80663,Slavko Vinčić,2026_FIFA_World_Cup_Group_C,1368283749
WC-2026,2026 FIFA Men's World Cup,M-2026-007,Australia vs Turkey,group stage,Group D,2026-06-13,9:00 p.m.,BC Place,Vancouver,Australia,Turkey,2–0,2,0,0,0,,,52497,Jesús Valenzuela,2026_FIFA_World_Cup_Group_D,1368284732
WC-2026,2026 FIFA Men's World Cup,M-2026-008,Haiti vs Scotland,group stage,Group C,2026-06-13,9:00 p.m.,Gillette Stadium,Foxborough,Haiti,Scotland,0–1,0,1,0,0,,,64146,Mustapha Ghorbal,2026_FIFA_World_Cup_Group_C,1368283749
WC-2026,2026 FIFA Men's World Cup,M-2026-009,Germany vs Curaçao,group stage,Group E,2026-06-14,12:00 p.m. UTC−5,NRG Stadium,Houston,Germany,Curaçao,7–1,7,1,0,0,,,68021,Jalal Jayed,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,2026 FIFA Men's World Cup,M-2026-010,Netherlands vs Japan,group stage,Group F,2026-06-14,3:00 p.m. UTC−5,AT&T Stadium,Arlington,Netherlands,Japan,2–2,2,2,0,0,,,69285,Ismail Elfath,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,2026 FIFA Men's World Cup,M-2026-011,Ivory Coast vs Ecuador,group stage,Group E,2026-06-14,7:00 p.m. UTC−4,Lincoln Financial Field,Philadelphia,Ivory Coast,Ecuador,1–0,1,0,0,0,,,68274,François Letexier,2026_FIFA_World_Cup_Group_E,1368284951
WC-2026,2026 FIFA Men's World Cup,M-2026-012,Sweden vs Tunisia,group stage,Group F,2026-06-14,8:00 p.m. UTC−6,Estadio BBVA,Guadalupe,Sweden,Tunisia,5–1,5,1,0,0,,,50987,Yael Falcón,2026_FIFA_World_Cup_Group_F,1368285128
WC-2026,2026 FIFA Men's World Cup,M-2026-013,Belgium vs Egypt,group stage,Group G,2026-06-15,12:00 p.m.,Lumen Field,Seattle,Belgium,Egypt,1–1,1,1,0,0,,,66775,Ramon Abatti,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,2026 FIFA Men's World Cup,M-2026-014,Spain vs Cape Verde,group stage,Group H,2026-06-15,12:00 p.m. UTC−4,Mercedes-Benz Stadium,Atlanta,Spain,Cape Verde,0–0,0,0,0,0,,,67640,Adham Makhadmeh,2026_FIFA_World_Cup_Group_H,1368285642
WC-2026,2026 FIFA Men's World Cup,M-2026-015,Iran vs New Zealand,group stage,Group G,2026-06-15,6:00 p.m.,SoFi Stadium,Inglewood,Iran,New Zealand,2–2,2,2,0,0,,,70108,César Arturo Ramos,2026_FIFA_World_Cup_Group_G,1368285341
WC-2026,2026 FIFA Men's World Cup,M-2026-016,Saudi Arabia vs Uruguay,group stage,Group H,2026-06-15,6:00 p.m. UTC−4,Hard Rock Stadium,Miami Gardens,Saudi Arabia,Uruguay,1–1,1,1,0,0,,,62764,Maurizio Mariani,2026_FIFA_World_Cup_Group_H,1368285642
WC-2026,2026 FIFA Men's World Cup,M-2026-017,France vs Senegal,group stage,Group I,2026-06-16,3:00 p.m.,MetLife Stadium,East Rutherford,France,Senegal,3–1,3,1,0,0,,,80545,Alireza Faghani,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,2026 FIFA Men's World Cup,M-2026-018,Iraq vs Norway,group stage,Group I,2026-06-16,6:00 p.m.,Gillette Stadium,Foxborough,Iraq,Norway,1–4,1,4,0,0,,,63106,Pierre Atcho,2026_FIFA_World_Cup_Group_I,1368283456
WC-2026,2026 FIFA Men's World Cup,M-2026-019,Argentina vs Algeria,group stage,Group J,2026-06-16,8:00 p.m. UTC−5,Arrowhead Stadium,Kansas City,Argentina,Algeria,3–0,3,0,0,0,,,69045,Szymon Marciniak,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,2026 FIFA Men's World Cup,M-2026-020,Austria vs Jordan,group stage,Group J,2026-06-16,9:00 p.m. UTC−7,Levi's Stadium,Santa Clara,Austria,Jordan,3–1,3,1,0,0,,,68527,Dahane Beida,2026_FIFA_World_Cup_Group_J,1368286276
WC-2026,2026 FIFA Men's World Cup,M-2026-021,Portugal vs DR Congo,group stage,Group K,2026-06-17,12:00 p.m. UTC−5,NRG Stadium,Houston,Portugal,DR Congo,1–1,1,1,0,0,,,68777,Abdulrahman Al-Jassim,2026_FIFA_World_Cup_Group_K,1368286465
WC-2026,2026 FIFA Men's World Cup,M-2026-022,England vs Croatia,group stage,Group L,2026-06-17,3:00 p.m. UTC−5,AT&T Stadium,Arlington,England,Croatia,4–2,4,2,0,0,,,70389,Clément Turpin,2026_FIFA_World_Cup_Group_L,1368283601
WC-2026,2026 FIFA Men's World Cup,M-2026-023,Ghana vs Panama,group stage,Group L,2026-06-17,7:00 p.m. UTC−4,BMO Field,Toronto,Ghana,Panama,1–0,1,0,0,0,,,42942,Glenn Nyberg,2026_FIFA_World_Cup_Group_L,1368283601
WC-2026,2026 FIFA Men's World Cup,M-2026-024,Uzbekistan vs Colombia,group stage,Group K,2026-06-17,8:00 p.m. UTC−6,Estadio Azteca,Mexico City,Uzbekistan,Colombia,1–3,1,3,0,0,,,80824,Anthony Taylor,2026_FIFA_World_Cup_Group_K,1368286465
WC-2026,2026 FIFA Men's World Cup,M-2026-025,Czech Republic vs South Africa,group stage,Group A,2026-06-18,12:00 p.m. UTC−4,Mercedes-Benz Stadium,Atlanta,Czech Republic,South Africa,1–1,1,1,0,0,,,67442,Tori Penso,2026_FIFA_World_Cup_Group_A,1368129117
WC-2026,2026 FIFA Men's World Cup,M-2026-026,Switzerland vs Bosnia and Herzegovina,group stage,Group B,2026-06-18,12:00 p.m. UTC−7,SoFi Stadium,Inglewood,Switzerland,Bosnia and Herzegovina,4–1,4,1,0,0,,,70026,João Pinheiro,2026_FIFA_World_Cup_Group_B,1368282937
