tournament_id,city_name,stadium_name,capacity,city_raw,stadium_raw,source_page,source_revision
WC-2026,Mexico City,Estadio Azteca,80824,Mexico City,Estadio Azteca† (Mexico City Stadium)[F],2026_FIFA_World_Cup,1368037326
WC-2026,New York/New Jersey,MetLife Stadium,80663,"New York/New Jersey (East Rutherford, New Jersey)",MetLife Stadium (New York New Jersey Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Dallas,AT&T Stadium,70649,"Dallas (Arlington, Texas)",AT&T Stadium‡ (Dallas Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Los Angeles,SoFi Stadium,70492,"Los Angeles (Inglewood, California)",SoFi Stadium‡ (Los Angeles Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Kansas City,Arrowhead Stadium,69045,Kansas City,Arrowhead Stadium (Kansas City Stadium)[F],2026_FIFA_World_Cup,1368037326
WC-2026,San Francisco Bay Area,Levi's Stadium,68827,"San Francisco Bay Area (Santa Clara, California)",Levi's Stadium (San Francisco Bay Area Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Houston,NRG Stadium,68777,Houston,NRG Stadium‡ (Houston Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Philadelphia,Lincoln Financial Field,68324,Philadelphia,Lincoln Financial Field (Philadelphia Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Atlanta,Mercedes-Benz Stadium,68239,Atlanta,Mercedes-Benz Stadium‡ (Atlanta Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Seattle,Lumen Field,66925,Seattle,Lumen Field (Seattle Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Miami,Hard Rock Stadium,64478,"Miami (Miami Gardens, Florida)",Hard Rock Stadium (Miami Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Boston,Gillette Stadium,64146,"Boston (Foxborough, Massachusetts)",Gillette Stadium (Boston Stadium),2026_FIFA_World_Cup,1368037326
WC-2026,Vancouver,BC Place,52497,Vancouver,BC Place‡ (BC Place Vancouver),2026_FIFA_World_Cup,1368037326
WC-2026,Monterrey,Estadio BBVA,51243,"Monterrey (Guadalupe, Nuevo León)",Estadio BBVA (Estadio Monterrey),2026_FIFA_World_Cup,1368037326
WC-2026,Guadalajara,Estadio Akron,45664,"Guadalajara (Zapopan, Jalisco)",Estadio Akron (Estadio Guadalajara),2026_FIFA_World_Cup,1368037326
WC-2026,Toronto,BMO Field,43036,Toronto,BMO Field (Toronto Stadium),2026_FIFA_World_Cup,1368037326
