match_id,tournament_id,year,stage,match_date,team,player_team,player,player_id,minute,minute_regulation,minute_stoppage,penalty,own_goal,source
M-1930-01,WC-1930,1930,group stage,1930-07-13,France,France,Lucien Laurent,P-05470,19,19,0,0,0,fjelstul
M-1930-01,WC-1930,1930,group stage,1930-07-13,France,France,Marcel Langiller,P-99087,40,40,0,0,0,fjelstul
M-1930-01,WC-1930,1930,group stage,1930-07-13,France,France,André Maschinot,P-60620,43,43,0,0,0,fjelstul
M-1930-01,WC-1930,1930,group stage,1930-07-13,Mexico,Mexico,Juan Carreño,P-94135,70,70,0,0,0,fjelstul
M-1930-01,WC-1930,1930,group stage,1930-07-13,France,France,André Maschinot,P-60620,87,87,0,0,0,fjelstul
M-1930-02,WC-1930,1930,group stage,1930-07-13,United States,United States,Bart McGhee,P-65185,23,23,0,0,0,fjelstul
M-1930-02,WC-1930,1930,group stage,1930-07-13,United States,United States,Tom Florie,P-37361,45,45,0,0,0,fjelstul
M-1930-02,WC-1930,1930,group stage,1930-07-13,United States,United States,Bert Patenaude,P-71973,69,69,0,0,0,fjelstul
M-1930-03,WC-1930,1930,group stage,1930-07-14,Serbia,Serbia,Aleksandar Tirnanić,P-43349,21,21,0,0,0,fjelstul
M-1930-03,WC-1930,1930,group stage,1930-07-14,Serbia,Serbia,Ivan Bek,P-43734,30,30,0,0,0,fjelstul
M-1930-03,WC-1930,1930,group stage,1930-07-14,Brazil,Brazil,Preguinho,P-91171,62,62,0,0,0,fjelstul
M-1930-04,WC-1930,1930,group stage,1930-07-14,Romania,Romania,Adalbert Deşu,P-91295,1,1,0,0,0,fjelstul
M-1930-04,WC-1930,1930,group stage,1930-07-14,Peru,Peru,Luis Souza Ferreira,P-44010,75,75,0,0,0,fjelstul
M-1930-04,WC-1930,1930,group stage,1930-07-14,Romania,Romania,Constantin Stanciu,P-18615,79,79,0,0,0,fjelstul
M-1930-04,WC-1930,1930,group stage,1930-07-14,Romania,Romania,Miklós Kovács,P-70294,89,89,0,0,0,fjelstul
M-1930-05,WC-1930,1930,group stage,1930-07-15,Argentina,Argentina,Luis Monti,P-25760,81,81,0,0,0,fjelstul
M-1930-06,WC-1930,1930,group stage,1930-07-16,Chile,Chile,Carlos Vidal,P-61338,3,3,0,0,0,fjelstul
M-1930-06,WC-1930,1930,group stage,1930-07-16,Chile,Mexico,Manuel Rosas,P-89481,52,52,0,0,1,fjelstul
M-1930-06,WC-1930,1930,group stage,1930-07-16,Chile,Chile,Carlos Vidal,P-61338,65,65,0,0,0,fjelstul
M-1930-07,WC-1930,1930,group stage,1930-07-17,Serbia,Serbia,Ivan Bek,P-43734,60,60,0,0,0,fjelstul
M-1930-07,WC-1930,1930,group stage,1930-07-17,Serbia,Serbia,Blagoje Marjanović,P-75929,65,65,0,0,0,fjelstul
M-1930-07,WC-1930,1930,group stage,1930-07-17,Serbia,Serbia,Ivan Bek,P-43734,67,67,0,0,0,fjelstul
M-1930-07,WC-1930,1930,group stage,1930-07-17,Serbia,Serbia,Đorđe Vujadinović,P-33565,85,85,0,0,0,fjelstul
M-1930-08,WC-1930,1930,group stage,1930-07-17,United States,United States,Bert Patenaude,P-71973,10,10,0,0,0,fjelstul
M-1930-08,WC-1930,1930,group stage,1930-07-17,United States,United States,Bert Patenaude,P-71973,15,15,0,0,0,fjelstul
M-1930-08,WC-1930,1930,group stage,1930-07-17,United States,United States,Bert Patenaude,P-71973,50,50,0,0,0,fjelstul
M-1930-09,WC-1930,1930,group stage,1930-07-18,Uruguay,Uruguay,Héctor Castro,P-54697,65,65,0,0,0,fjelstul
M-1930-10,WC-1930,1930,group stage,1930-07-19,Chile,Chile,Guillermo Subiabre,P-08459,67,67,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Argentina,Argentina,Guillermo Stábile,P-56486,8,8,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Argentina,Argentina,Adolfo Zumelzú,P-76546,12,12,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Argentina,Argentina,Guillermo Stábile,P-56486,17,17,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Mexico,Mexico,Manuel Rosas,P-89481,42,42,0,1,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Argentina,Argentina,Francisco Varallo,P-37326,53,53,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Argentina,Argentina,Adolfo Zumelzú,P-76546,55,55,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Mexico,Mexico,Manuel Rosas,P-89481,65,65,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Mexico,Mexico,Roberto Gayón,P-31066,75,75,0,0,0,fjelstul
M-1930-11,WC-1930,1930,group stage,1930-07-19,Argentina,Argentina,Guillermo Stábile,P-56486,80,80,0,0,0,fjelstul
M-1930-12,WC-1930,1930,group stage,1930-07-20,Brazil,Brazil,Moderato,P-83987,37,37,0,0,0,fjelstul
M-1930-12,WC-1930,1930,group stage,1930-07-20,Brazil,Brazil,Preguinho,P-91171,57,57,0,0,0,fjelstul
M-1930-12,WC-1930,1930,group stage,1930-07-20,Brazil,Brazil,Moderato,P-83987,73,73,0,0,0,fjelstul
M-1930-12,WC-1930,1930,group stage,1930-07-20,Brazil,Brazil,Preguinho,P-91171,83,83,0,0,0,fjelstul
M-1930-13,WC-1930,1930,group stage,1930-07-20,Paraguay,Paraguay,Luis Vargas Peña,P-06201,40,40,0,0,0,fjelstul
M-1930-14,WC-1930,1930,group stage,1930-07-21,Uruguay,Uruguay,Pablo Dorado,P-38674,7,7,0,0,0,fjelstul
M-1930-14,WC-1930,1930,group stage,1930-07-21,Uruguay,Uruguay,Héctor Scarone,P-44201,26,26,0,0,0,fjelstul
M-1930-14,WC-1930,1930,group stage,1930-07-21,Uruguay,Uruguay,Peregrino Anselmo,P-57352,31,31,0,0,0,fjelstul
M-1930-14,WC-1930,1930,group stage,1930-07-21,Uruguay,Uruguay,Pedro Cea,P-18628,35,35,0,0,0,fjelstul
M-1930-15,WC-1930,1930,group stage,1930-07-22,Argentina,Argentina,Guillermo Stábile,P-56486,12,12,0,0,0,fjelstul
M-1930-15,WC-1930,1930,group stage,1930-07-22,Argentina,Argentina,Guillermo Stábile,P-56486,13,13,0,0,0,fjelstul
M-1930-15,WC-1930,1930,group stage,1930-07-22,Chile,Chile,Guillermo Subiabre,P-08459,15,15,0,0,0,fjelstul
M-1930-15,WC-1930,1930,group stage,1930-07-22,Argentina,Argentina,Mario Evaristo,P-23897,51,51,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,Argentina,Argentina,Luis Monti,P-25760,20,20,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,Argentina,Argentina,Alejandro Scopelli,P-44916,56,56,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,Argentina,Argentina,Guillermo Stábile,P-56486,69,69,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,Argentina,Argentina,Carlos Peucelle,P-70166,80,80,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,Argentina,Argentina,Carlos Peucelle,P-70166,85,85,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,Argentina,Argentina,Guillermo Stábile,P-56486,87,87,0,0,0,fjelstul
M-1930-16,WC-1930,1930,semi-finals,1930-07-26,United States,United States,Jim Brown,P-06424,89,89,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Serbia,Serbia,Đorđe Vujadinović,P-33565,4,4,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Uruguay,Uruguay,Pedro Cea,P-18628,18,18,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Uruguay,Uruguay,Peregrino Anselmo,P-57352,20,20,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Uruguay,Uruguay,Peregrino Anselmo,P-57352,31,31,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Uruguay,Uruguay,Santos Iriarte,P-31959,61,61,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Uruguay,Uruguay,Pedro Cea,P-18628,67,67,0,0,0,fjelstul
M-1930-17,WC-1930,1930,semi-finals,1930-07-27,Uruguay,Uruguay,Pedro Cea,P-18628,72,72,0,0,0,fjelstul
M-1930-18,WC-1930,1930,final,1930-07-30,Uruguay,Uruguay,Pablo Dorado,P-38674,12,12,0,0,0,fjelstul
M-1930-18,WC-1930,1930,final,1930-07-30,Argentina,Argentina,Carlos Peucelle,P-70166,20,20,0,0,0,fjelstul
M-1930-18,WC-1930,1930,final,1930-07-30,Argentina,Argentina,Guillermo Stábile,P-56486,37,37,0,0,0,fjelstul
M-1930-18,WC-1930,1930,final,1930-07-30,Uruguay,Uruguay,Pedro Cea,P-18628,57,57,0,0,0,fjelstul
M-1930-18,WC-1930,1930,final,1930-07-30,Uruguay,Uruguay,Santos Iriarte,P-31959,68,68,0,0,0,fjelstul
M-1930-18,WC-1930,1930,final,1930-07-30,Uruguay,Uruguay,Héctor Castro,P-54697,89,89,0,0,0,fjelstul
M-1934-01,WC-1934,1934,round of 16,1934-05-27,France,France,Jean Nicolas,P-70804,18,18,0,0,0,fjelstul
M-1934-01,WC-1934,1934,round of 16,1934-05-27,Austria,Austria,Matthias Sindelar,P-11865,44,44,0,0,0,fjelstul
M-1934-01,WC-1934,1934,round of 16,1934-05-27,Austria,Austria,Anton Schall,P-87474,93,93,0,0,0,fjelstul
M-1934-01,WC-1934,1934,round of 16,1934-05-27,Austria,Austria,Josef Bican,P-51668,109,109,0,0,0,fjelstul
M-1934-01,WC-1934,1934,round of 16,1934-05-27,France,France,Georges Verriest,P-13166,116,116,0,1,0,fjelstul
M-1934-02,WC-1934,1934,round of 16,1934-05-27,Romania,Romania,Ștefan Dobay,P-55855,11,11,0,0,0,fjelstul
M-1934-02,WC-1934,1934,round of 16,1934-05-27,Czech Republic,Czech Republic,Antonín Puč,P-51219,50,50,0,0,0,fjelstul
M-1934-02,WC-1934,1934,round of 16,1934-05-27,Czech Republic,Czech Republic,Oldřich Nejedlý,P-60513,67,67,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Germany,Germany,Stanislaus Kobierski,P-04241,25,25,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Belgium,Belgium,Bernard Voorhoof,P-85443,29,29,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Belgium,Belgium,Bernard Voorhoof,P-85443,43,43,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Germany,Germany,Otto Siffling,P-53238,49,49,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Germany,Germany,Edmund Conen,P-77348,66,66,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Germany,Germany,Edmund Conen,P-77348,70,70,0,0,0,fjelstul
M-1934-03,WC-1934,1934,round of 16,1934-05-27,Germany,Germany,Edmund Conen,P-77348,87,87,0,0,0,fjelstul
M-1934-04,WC-1934,1934,round of 16,1934-05-27,Hungary,Hungary,Pál Teleki,P-42669,11,11,0,0,0,fjelstul
M-1934-04,WC-1934,1934,round of 16,1934-05-27,Hungary,Hungary,Géza Toldi,P-60977,31,31,0,0,0,fjelstul
M-1934-04,WC-1934,1934,round of 16,1934-05-27,Egypt,Egypt,Abdulrahman Fawzi,P-28239,35,35,0,0,0,fjelstul
M-1934-04,WC-1934,1934,round of 16,1934-05-27,Egypt,Egypt,Abdulrahman Fawzi,P-28239,39,39,0,0,0,fjelstul
M-1934-04,WC-1934,1934,round of 16,1934-05-27,Hungary,Hungary,Jenő Vincze,P-11520,53,53,0,0,0,fjelstul
M-1934-04,WC-1934,1934,round of 16,1934-05-27,Hungary,Hungary,Géza Toldi,P-60977,61,61,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Angelo Schiavio,P-56703,18,18,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Raimundo Orsi,P-03638,20,20,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Angelo Schiavio,P-56703,29,29,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,United States,United States,Aldo Donelli,P-75829,57,57,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Giovanni Ferrari,P-39512,63,63,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Angelo Schiavio,P-56703,64,64,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Raimundo Orsi,P-03638,69,69,0,0,0,fjelstul
M-1934-05,WC-1934,1934,round of 16,1934-05-27,Italy,Italy,Giuseppe Meazza,P-34536,90,90,0,0,0,fjelstul
