match_id,tournament_id,year,stage,group_name,match_date,venue_id,country_name,home_team,away_team,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,attendance,home_team_raw,away_team_raw,source
M-1930-01,WC-1930,1930,group stage,Group 1,1930-07-13,V-208,Uruguay,France,Mexico,4,1,0,0,,,,France,Mexico,fjelstul
M-1930-02,WC-1930,1930,group stage,Group 4,1930-07-13,V-207,Uruguay,United States,Belgium,3,0,0,0,,,,United States,Belgium,fjelstul
M-1930-03,WC-1930,1930,group stage,Group 2,1930-07-14,V-207,Uruguay,Serbia,Brazil,2,1,0,0,,,,Yugoslavia,Brazil,fjelstul
M-1930-04,WC-1930,1930,group stage,Group 3,1930-07-14,V-208,Uruguay,Romania,Peru,3,1,0,0,,,,Romania,Peru,fjelstul
M-1930-05,WC-1930,1930,group stage,Group 1,1930-07-15,V-207,Uruguay,Argentina,France,1,0,0,0,,,,Argentina,France,fjelstul
M-1930-06,WC-1930,1930,group stage,Group 1,1930-07-16,V-207,Uruguay,Chile,Mexico,3,0,0,0,,,,Chile,Mexico,fjelstul
M-1930-07,WC-1930,1930,group stage,Group 2,1930-07-17,V-207,Uruguay,Serbia,Bolivia,4,0,0,0,,,,Yugoslavia,Bolivia,fjelstul
M-1930-08,WC-1930,1930,group stage,Group 4,1930-07-17,V-207,Uruguay,United States,Paraguay,3,0,0,0,,,,United States,Paraguay,fjelstul
M-1930-09,WC-1930,1930,group stage,Group 3,1930-07-18,V-206,Uruguay,Uruguay,Peru,1,0,0,0,,,,Uruguay,Peru,fjelstul
M-1930-10,WC-1930,1930,group stage,Group 1,1930-07-19,V-206,Uruguay,Chile,France,1,0,0,0,,,,Chile,France,fjelstul
M-1930-11,WC-1930,1930,group stage,Group 1,1930-07-19,V-206,Uruguay,Argentina,Mexico,6,3,0,0,,,,Argentina,Mexico,fjelstul
M-1930-12,WC-1930,1930,group stage,Group 2,1930-07-20,V-206,Uruguay,Brazil,Bolivia,4,0,0,0,,,,Brazil,Bolivia,fjelstul
M-1930-13,WC-1930,1930,group stage,Group 4,1930-07-20,V-206,Uruguay,Paraguay,Belgium,1,0,0,0,,,,Paraguay,Belgium,fjelstul
M-1930-14,WC-1930,1930,group stage,Group 3,1930-07-21,V-206,Uruguay,Uruguay,Romania,4,0,0,0,,,,Uruguay,Romania,fjelstul
M-1930-15,WC-1930,1930,group stage,Group 1,1930-07-22,V-206,Uruguay,Argentina,Chile,3,1,0,0,,,,Argentina,Chile,fjelstul
M-1930-16,WC-1930,1930,semi-finals,,1930-07-26,V-206,Uruguay,Argentina,United States,6,1,0,0,,,,Argentina,United States,fjelstul
M-1930-17,WC-1930,1930,semi-finals,,1930-07-27,V-206,Uruguay,Uruguay,Serbia,6,1,0,0,,,,Uruguay,Yugoslavia,fjelstul
M-1930-18,WC-1930,1930,final,,1930-07-30,V-206,Uruguay,Uruguay,Argentina,4,2,0,0,,,,Uruguay,Argentina,fjelstul
M-1934-01,WC-1934,1934,round of 16,,1934-05-27,V-083,Italy,Austria,France,3,2,1,0,,,,Austria,France,fjelstul
M-1934-02,WC-1934,1934,round of 16,,1934-05-27,V-082,Italy,Czech Republic,Romania,2,1,0,0,,,,Czechoslovakia,Romania,fjelstul
M-1934-03,WC-1934,1934,round of 16,,1934-05-27,V-074,Italy,Germany,Belgium,5,2,0,0,,,,Germany,Belgium,fjelstul
M-1934-04,WC-1934,1934,round of 16,,1934-05-27,V-077,Italy,Hungary,Egypt,4,2,0,0,,,,Hungary,Egypt,fjelstul
M-1934-05,WC-1934,1934,round of 16,,1934-05-27,V-080,Italy,Italy,United States,7,1,0,0,,,,Italy,United States,fjelstul
M-1934-06,WC-1934,1934,round of 16,,1934-05-27,V-075,Italy,Spain,Brazil,3,1,0,0,,,,Spain,Brazil,fjelstul
M-1934-07,WC-1934,1934,round of 16,,1934-05-27,V-071,Italy,Sweden,Argentina,3,2,0,0,,,,Sweden,Argentina,fjelstul
M-1934-08,WC-1934,1934,round of 16,,1934-05-27,V-076,Italy,Switzerland,Netherlands,3,2,0,0,,,,Switzerland,Netherlands,fjelstul
M-1934-09,WC-1934,1934,quarter-finals,,1934-05-31,V-071,Italy,Austria,Hungary,2,1,0,0,,,,Austria,Hungary,fjelstul
M-1934-10,WC-1934,1934,quarter-finals,,1934-05-31,V-083,Italy,Czech Republic,Switzerland,3,2,0,0,,,,Czechoslovakia,Switzerland,fjelstul
M-1934-11,WC-1934,1934,quarter-finals,,1934-05-31,V-076,Italy,Germany,Sweden,2,1,0,0,,,,Germany,Sweden,fjelstul
