match_id,tournament_id,year,stage,match_date,venue_id,country_name,penalty_shootout,team,opponent,goals_for,goals_against,pens_for,pens_against,home_away,result
M-1930-01,WC-1930,1930,group stage,1930-07-13,V-208,Uruguay,0,Mexico,France,1,4,,,away,L
M-1930-01,WC-1930,1930,group stage,1930-07-13,V-208,Uruguay,0,France,Mexico,4,1,,,home,W
M-1930-02,WC-1930,1930,group stage,1930-07-13,V-207,Uruguay,0,Belgium,United States,0,3,,,away,L
M-1930-02,WC-1930,1930,group stage,1930-07-13,V-207,Uruguay,0,United States,Belgium,3,0,,,home,W
M-1930-03,WC-1930,1930,group stage,1930-07-14,V-207,Uruguay,0,Brazil,Serbia,1,2,,,away,L
M-1930-03,WC-1930,1930,group stage,1930-07-14,V-207,Uruguay,0,Serbia,Brazil,2,1,,,home,W
M-1930-04,WC-1930,1930,group stage,1930-07-14,V-208,Uruguay,0,Peru,Romania,1,3,,,away,L
M-1930-04,WC-1930,1930,group stage,1930-07-14,V-208,Uruguay,0,Romania,Peru,3,1,,,home,W
M-1930-05,WC-1930,1930,group stage,1930-07-15,V-207,Uruguay,0,France,Argentina,0,1,,,away,L
M-1930-05,WC-1930,1930,group stage,1930-07-15,V-207,Uruguay,0,Argentina,France,1,0,,,home,W
M-1930-06,WC-1930,1930,group stage,1930-07-16,V-207,Uruguay,0,Mexico,Chile,0,3,,,away,L
M-1930-06,WC-1930,1930,group stage,1930-07-16,V-207,Uruguay,0,Chile,Mexico,3,0,,,home,W
M-1930-07,WC-1930,1930,group stage,1930-07-17,V-207,Uruguay,0,Bolivia,Serbia,0,4,,,away,L
M-1930-07,WC-1930,1930,group stage,1930-07-17,V-207,Uruguay,0,Serbia,Bolivia,4,0,,,home,W
M-1930-08,WC-1930,1930,group stage,1930-07-17,V-207,Uruguay,0,Paraguay,United States,0,3,,,away,L
M-1930-08,WC-1930,1930,group stage,1930-07-17,V-207,Uruguay,0,United States,Paraguay,3,0,,,home,W
M-1930-09,WC-1930,1930,group stage,1930-07-18,V-206,Uruguay,0,Peru,Uruguay,0,1,,,away,L
M-1930-09,WC-1930,1930,group stage,1930-07-18,V-206,Uruguay,0,Uruguay,Peru,1,0,,,home,W
M-1930-10,WC-1930,1930,group stage,1930-07-19,V-206,Uruguay,0,France,Chile,0,1,,,away,L
M-1930-10,WC-1930,1930,group stage,1930-07-19,V-206,Uruguay,0,Chile,France,1,0,,,home,W
M-1930-11,WC-1930,1930,group stage,1930-07-19,V-206,Uruguay,0,Mexico,Argentina,3,6,,,away,L
M-1930-11,WC-1930,1930,group stage,1930-07-19,V-206,Uruguay,0,Argentina,Mexico,6,3,,,home,W
M-1930-12,WC-1930,1930,group stage,1930-07-20,V-206,Uruguay,0,Bolivia,Brazil,0,4,,,away,L
M-1930-12,WC-1930,1930,group stage,1930-07-20,V-206,Uruguay,0,Brazil,Bolivia,4,0,,,home,W
