team_name,gu_a3,geounit_name,map_units,confederation,first_year,last_year,participations,matches_played
Algeria,DZA,Algeria,1,CAF,1982,2026,5,17
Angola,AGO,Angola,1,CAF,2006,2006,1,3
Argentina,ARG,Argentina,1,CONMEBOL,1930,2026,19,96
Australia,AUS,Australia,1,AFC,1974,2026,7,24
Austria,AUT,Austria,1,UEFA,1934,2026,8,33
Belgium,BCR,Brussels Capital Region,3,UEFA,1930,2026,15,57
Bolivia,BOL,Bolivia,1,CONMEBOL,1930,1994,3,6
Bosnia and Herzegovina,BHF,Bosnia and Herzegovina,1,UEFA,2014,2026,2,7
Brazil,BRA,Brazil,1,CONMEBOL,1930,2026,23,119
Bulgaria,BGR,Bulgaria,1,UEFA,1962,1998,7,26
Cameroon,CMR,Cameroon,1,CAF,1982,2022,8,26
Canada,CAN,Canada,1,CONCACAF,1986,2026,3,11
Cape Verde,CPV,Cabo Verde,1,CAF,2026,2026,1,4
Chile,CHL,Chile,1,CONMEBOL,1930,2014,9,33
China,CHN,China,1,AFC,2002,2002,1,3
Colombia,COL,Colombia,1,CONMEBOL,1962,2026,7,27
Costa Rica,CRI,Costa Rica,1,CONCACAF,1990,2022,6,21
Croatia,HRV,Croatia,1,UEFA,1998,2026,7,34
Cuba,CUB,Cuba,1,CONCACAF,1938,1938,1,3
Curaçao,CUW,Curaçao,1,CONCACAF,2026,2026,1,3
Czech Republic,CZE,Czechia,1,UEFA,1934,2026,10,36
DR Congo,COD,Democratic Republic of the Congo,1,CAF,1974,2026,2,7
Denmark,DNK,Denmark,1,UEFA,1986,2022,6,23
Ecuador,ECU,Ecuador,1,CONMEBOL,2002,2026,5,17
Egypt,EGY,Egypt,1,CAF,1934,2026,4,12
El Salvador,SLV,El Salvador,1,CONCACAF,1970,1982,2,6
England,ENG,England,1,UEFA,1950,2026,17,82
France,FXX,France,1,UEFA,1930,2026,17,81
Germany,DEU,Germany,1,UEFA,1934,2026,21,122
Ghana,GHA,Ghana,1,CAF,2006,2026,5,19
Greece,GRC,Greece,1,UEFA,1994,2014,3,10
Haiti,HTI,Haiti,1,CONCACAF,1974,2026,2,6
Honduras,HND,Honduras,1,CONCACAF,1982,2014,3,9
Hungary,HUN,Hungary,1,UEFA,1934,1986,9,32
Iceland,ISL,Iceland,1,UEFA,2018,2018,1,3
Indonesia,IDN,Indonesia,1,AFC,1938,1938,1,1
Iran,IRN,Iran,1,AFC,1978,2026,7,21
Iraq,IRQ,Iraq,1,AFC,1986,2026,2,6
Israel,ISR,Israel,1,UEFA,1970,1970,1,3
Italy,ITA,Italy,1,UEFA,1934,2014,18,83
Ivory Coast,CIV,Ivory Coast,1,CAF,2006,2026,4,13
Jamaica,JAM,Jamaica,1,CONCACAF,1998,1998,1,3
Japan,JPN,Japan,1,AFC,1998,2026,8,29
Jordan,JOR,Jordan,1,AFC,2026,2026,1,3
Kuwait,KWT,Kuwait,1,AFC,1982,1982,1,3
Mexico,MEX,Mexico,1,CONCACAF,1930,2026,18,65
Morocco,MAR,Morocco,1,CAF,1970,2026,7,29
Netherlands,NLD,Netherlands,1,UEFA,1934,2026,12,59
New Zealand,NZL,New Zealand,1,OFC,1982,2026,3,9
Nigeria,NGA,Nigeria,1,CAF,1994,2018,6,21
North Korea,PRK,North Korea,1,AFC,1966,2010,2,7
Northern Ireland,NIR,Northern Ireland,1,UEFA,1958,1986,3,13
Norway,NOR,Norway,1,UEFA,1938,2026,4,14
Panama,PAN,Panama,1,CONCACAF,2018,2026,2,6
Paraguay,PRY,Paraguay,1,CONMEBOL,1930,2026,9,32
Peru,PER,Peru,1,CONMEBOL,1930,2018,5,18
Poland,POL,Poland,1,UEFA,1938,2022,9,38
Portugal,PRX,Portugal,1,UEFA,1966,2026,9,40
Qatar,QAT,Qatar,1,AFC,2022,2026,2,6
Republic of Ireland,IRL,Ireland,1,UEFA,1990,2002,3,13
Romania,ROU,Romania,1,UEFA,1930,1998,7,21
Russia,RUS,Russia,1,UEFA,1958,2018,11,45
Saudi Arabia,SAU,Saudi Arabia,1,AFC,1994,2026,7,22
Scotland,SCT,Scotland,1,UEFA,1954,2026,9,26
Senegal,SEN,Senegal,1,CAF,2002,2026,4,16
Serbia,SRS,Serbia,1,UEFA,1930,2022,13,49
Slovakia,SVK,Slovakia,1,UEFA,2010,2010,1,4
Slovenia,SVN,Slovenia,1,UEFA,2002,2010,2,6
South Africa,ZAF,South Africa,1,CAF,1998,2026,4,13
South Korea,KOR,South Korea,1,AFC,1954,2026,12,41
Spain,ESP,Spain,1,UEFA,1934,2026,17,75
Sweden,SWE,Sweden,1,UEFA,1934,2026,13,55
Switzerland,CHE,Switzerland,1,UEFA,1934,2026,13,47
Togo,TGO,Togo,1,CAF,2006,2006,1,3
Trinidad and Tobago,TTO,Trinidad and Tobago,1,CONCACAF,2006,2006,1,3
Tunisia,TUN,Tunisia,1,CAF,1978,2026,7,21
Turkey,TUR,Turkey,1,UEFA,1954,2026,3,13
Ukraine,UKR,Ukraine,1,UEFA,2006,2006,1,5
United Arab Emirates,ARE,United Arab Emirates,1,AFC,1990,1990,1,3
United States,USA,United States of America,1,CONCACAF,1930,2026,12,42
Uruguay,URY,Uruguay,1,CONMEBOL,1930,2026,15,62
Uzbekistan,UZB,Uzbekistan,1,AFC,2026,2026,1,3
Wales,WLS,Wales,1,UEFA,1958,2022,2,8
