tournament_id,year,matches,goals,venues,start_date,end_date,count_teams,champion,runner_up
WC-1930,1930,18,70,3,1930-07-13,1930-07-30,13,Uruguay,Argentina
WC-1934,1934,17,70,8,1934-05-27,1934-06-10,16,Italy,Czechoslovakia
WC-1938,1938,18,84,10,1938-06-04,1938-06-19,15,Italy,Hungary
WC-1950,1950,22,88,6,1950-06-24,1950-07-16,13,Uruguay,Brazil
WC-1954,1954,26,140,6,1954-06-16,1954-07-04,16,West Germany,Hungary
WC-1958,1958,35,126,12,1958-06-08,1958-06-29,16,Brazil,Sweden
WC-1962,1962,32,89,4,1962-05-30,1962-06-17,16,Brazil,Czechoslovakia
WC-1966,1966,32,89,8,1966-07-11,1966-07-30,16,England,West Germany
WC-1970,1970,32,95,5,1970-05-31,1970-06-21,16,Brazil,Italy
WC-1974,1974,38,97,9,1974-06-13,1974-07-07,16,West Germany,Netherlands
WC-1978,1978,38,102,6,1978-06-01,1978-06-25,16,Argentina,Netherlands
WC-1982,1982,52,146,17,1982-06-13,1982-07-11,24,Italy,West Germany
WC-1986,1986,52,132,12,1986-05-31,1986-06-29,24,Argentina,West Germany
WC-1990,1990,52,115,12,1990-06-08,1990-07-08,24,West Germany,Argentina
WC-1994,1994,52,141,9,1994-06-17,1994-07-17,24,Brazil,Italy
WC-1998,1998,64,171,10,1998-06-10,1998-07-12,32,France,Brazil
WC-2002,2002,64,161,20,2002-05-31,2002-06-30,32,Brazil,Germany
WC-2006,2006,64,147,12,2006-06-09,2006-07-09,32,Italy,France
WC-2010,2010,64,145,10,2010-06-11,2010-07-11,32,Spain,Netherlands
WC-2014,2014,64,171,12,2014-06-12,2014-07-13,32,Germany,Argentina
WC-2018,2018,64,169,12,2018-06-14,2018-07-15,32,France,Croatia
WC-2022,2022,64,172,8,2022-11-20,2022-12-18,32,Argentina,France
WC-2026,2026,104,308,16,2026-06-11,2026-07-19,48,Spain,Argentina
