team_name,last_cup,hex,basis,note
Algeria,2026,#00A651,identity,"Camisa branca com verde; o verde dos Fennecs é o lado cromático"
Angola,2006,#E4002B,home,
Argentina,2026,#6CB4EE,home,"Celeste das listras"
Australia,2026,#FFD100,home,"Ouro dos Socceroos"
Austria,2026,#EF3340,home,
Belgium,2026,#E63329,home,"Vermelho dos Diabos Vermelhos"
Bolivia,1994,#009B3A,home,
Bosnia and Herzegovina,2026,#0072CE,home,
Brazil,2026,#FFDF00,home,"Amarelo-ouro da CBF"
Bulgaria,1998,#00A651,identity,"Camisa branca em 1998; verde da bandeira e do uniforme reserva"
Cameroon,2022,#009639,home,"Verde dos Leões Indomáveis"
Canada,2026,#E4002B,home,
Cape Verde,2026,#0057B8,home,
Chile,2014,#DA291C,home,
China,2002,#EE1C25,home,
Colombia,2026,#FFD100,home,
Costa Rica,2022,#DC1C2E,home,
Croatia,2026,#E4002B,home,"O xadrez é vermelho e branco; o vermelho é o lado cromático"
Cuba,1938,#D52B1E,home,"Vermelho da campanha de 1938, quando chegou às quartas"
Curaçao,2026,#0047BB,home,
Czech Republic,2026,#E4002B,home,
DR Congo,2026,#0093DD,home,"Azul dos Leopardos"
Denmark,2022,#D50032,home,
Ecuador,2026,#FFD100,home,
Egypt,2026,#E4002B,home,"Vermelho dos Faraós"
El Salvador,1982,#0047BB,home,
England,2026,#E4002B,identity,"Camisa branca; vermelho do escudo e do uniforme de 1966"
France,2026,#1A4FB8,home,"Azul dos Bleus"
Germany,2026,#E4002B,identity,"Camisa branca com preto — nenhum dos dois sustenta uma rampa; vermelho da bandeira"
Ghana,2026,#E4002B,identity,"Camisa branca; vermelho da bandeira"
Greece,2014,#0D5EAF,home,
Haiti,2026,#0047BB,home,
Honduras,2014,#0073CF,identity,"Camisa branca; azul da bandeira"
Hungary,1986,#E4002B,home,
Iceland,2018,#0F62C4,home,
Indonesia,1938,#E1122F,identity,"Jogou 1938 como Índias Orientais Neerlandesas, de branco — sem matiz para uma rampa; usa o vermelho da Indonésia moderna, que é o rótulo do registro"
Iran,2026,#E4002B,identity,"Camisa branca; vermelho da bandeira e do uniforme reserva"
Iraq,2026,#00A651,home,
Israel,1970,#0038B8,home,
Italy,2014,#0F80D6,home,"Azzurro"
Ivory Coast,2026,#FF8200,home,"Laranja dos Elefantes"
Jamaica,1998,#FFD100,home,"Ouro dos Reggae Boyz"
Japan,2026,#1B4FD8,home,"Samurai Blue, no tom vivo que o uniforme de 2026 usa"
Jordan,2026,#E4002B,identity,"Camisa branca; vermelho da bandeira"
Kuwait,1982,#0072CE,home,
Mexico,2026,#00844B,home,"Verde do Tri"
Morocco,2026,#E4002B,home,"Vermelho dos Leões do Atlas"
Netherlands,2026,#FF6C00,home,"Laranja"
New Zealand,2026,#0057B8,identity,"'All Whites' de branco, escudo preto — nenhum dos dois sustenta uma rampa; azul da bandeira"
Nigeria,2018,#00A651,home,"Verde das Super Águias"
North Korea,2010,#ED1C27,home,
Northern Ireland,1986,#00A651,home,
Norway,2026,#E4002B,home,
Panama,2026,#DA121A,home,
Paraguay,2026,#E4002B,home,"Listras vermelhas e brancas"
Peru,2018,#E4002B,identity,"A camisa é branca com a banda vermelha atravessada; o vermelho é o lado cromático"
Poland,2022,#E4002B,identity,"Camisa branca; vermelho da bandeira e do uniforme reserva"
Portugal,2026,#C8102E,home,"Vermelho-vinho das Quinas"
Qatar,2026,#8A1538,home,"Grená da bandeira"
Republic of Ireland,2002,#00A651,home,
Romania,1998,#FFD100,home,
Russia,2018,#E4002B,home,
Saudi Arabia,2026,#00A651,identity,"Camisa branca com verde; verde da bandeira e da federação"
Scotland,2026,#0F4C9E,home,"Azul-marinho, clareado para sustentar a rampa"
Senegal,2026,#00A651,identity,"Camisa branca; verde dos Leões de Teranga"
Serbia,2022,#E4002B,home,
Slovakia,2010,#0B5EC4,home,
Slovenia,2010,#00A651,home,
South Africa,2026,#FFB612,home,"Ouro dos Bafana Bafana"
South Korea,2026,#E4002B,home,"Vermelho dos Guerreiros Taeguk"
Spain,2026,#E4002B,home,"Vermelho da Roja"
Sweden,2026,#FFD100,home,
Switzerland,2026,#E4002B,home,
Togo,2006,#FFD100,home,
Trinidad and Tobago,2006,#E4002B,home,"Vermelho dos Soca Warriors"
Tunisia,2026,#E4002B,home,
Turkey,2026,#E30A17,home,
Ukraine,2006,#FFD500,home,
United Arab Emirates,1990,#00A651,identity,"'Al Abyad' joga de branco; verde da bandeira"
United States,2026,#1A4FB8,identity,"Camisa branca; azul do uniforme reserva e do escudo"
Uruguay,2026,#5BC2E7,home,"Celeste"
Uzbekistan,2026,#0093DD,home,
Wales,2022,#E4002B,home,
