team_name,name_pt,sigla,artigo,note
Algeria,Argélia,ALG,a,
Angola,Angola,ANG,,
Argentina,Argentina,ARG,a,
Australia,Austrália,AUS,a,
Austria,Áustria,AUT,a,
Belgium,Bélgica,BEL,a,
Bolivia,Bolívia,BOL,a,
Bosnia and Herzegovina,Bósnia e Herzegovina,BIH,a,
Brazil,Brasil,BRA,o,
Bulgaria,Bulgária,BUL,a,
Cameroon,Camarões,CMR,,
Canada,Canadá,CAN,o,
Cape Verde,Cabo Verde,CPV,,
Chile,Chile,CHI,o,
China,China,CHN,a,
Colombia,Colômbia,COL,a,
Costa Rica,Costa Rica,CRC,a,
Croatia,Croácia,CRO,a,
Cuba,Cuba,CUB,,
Curaçao,Curaçao,CUW,,
Czech Republic,República Tcheca,CZE,a,"Grafia brasileira; em Portugal é ""Chéquia"". O dado de origem usa o nome longo, e ""Tchéquia"" ainda é minoritário na imprensa esportiva do Brasil."
DR Congo,RD Congo,COD,a,Abreviado como no dado de origem: o nome por extenso (República Democrática do Congo) não cabe na coluna do ranking.
Denmark,Dinamarca,DEN,a,
Ecuador,Equador,ECU,o,
Egypt,Egito,EGY,o,
El Salvador,El Salvador,SLV,,
England,Inglaterra,ENG,a,
France,França,FRA,a,
Germany,Alemanha,GER,a,"Inclui Alemanha Ocidental e Oriental — a fusão está em reference/team_succession.csv, não aqui."
Ghana,Gana,GHA,,
Greece,Grécia,GRE,a,
Haiti,Haiti,HAI,o,
Honduras,Honduras,HON,,
Hungary,Hungria,HUN,a,
Iceland,Islândia,ISL,a,
Indonesia,Indonésia,IDN,a,Em 1938 competiu como Índias Orientais Neerlandesas; o rótulo do dado é o país de hoje.
Iran,Irã,IRN,o,
Iraq,Iraque,IRQ,o,
Israel,Israel,ISR,,
Italy,Itália,ITA,a,
Ivory Coast,Costa do Marfim,CIV,a,
Jamaica,Jamaica,JAM,a,
Japan,Japão,JPN,o,
Jordan,Jordânia,JOR,a,
Kuwait,Kuwait,KUW,o,
Mexico,México,MEX,o,
Morocco,Marrocos,MAR,o,
Netherlands,Holanda,NED,a,"Decisão editorial: ""Países Baixos"" é o nome oficial, mas a seleção é ""Holanda"" na imprensa esportiva brasileira — e é assim que o resto do repositório já a chama."
New Zealand,Nova Zelândia,NZL,a,
Nigeria,Nigéria,NGA,a,
North Korea,Coreia do Norte,PRK,a,
Northern Ireland,Irlanda do Norte,NIR,a,
Norway,Noruega,NOR,a,
Panama,Panamá,PAN,o,
Paraguay,Paraguai,PAR,o,
Peru,Peru,PER,o,
Poland,Polônia,POL,a,
Portugal,Portugal,POR,,
Qatar,Catar,QAT,o,
Republic of Ireland,Irlanda,IRL,a,"Sem ""República da"": no mapa a Irlanda do Norte é outra seleção, com outro polígono, então o nome curto não fica ambíguo."
Romania,Romênia,ROU,a,
Russia,Rússia,RUS,a,"Rótulo único para União Soviética, CEI e Rússia, como o dado de origem os unifica."
Saudi Arabia,Arábia Saudita,KSA,a,
Scotland,Escócia,SCO,a,
Senegal,Senegal,SEN,o,
Serbia,Sérvia,SRB,a,"Rótulo único para Iugoslávia, Sérvia e Montenegro e Sérvia."
Slovakia,Eslováquia,SVK,a,
Slovenia,Eslovênia,SVN,a,
South Africa,África do Sul,RSA,a,
South Korea,Coreia do Sul,KOR,a,
Spain,Espanha,ESP,a,
Sweden,Suécia,SWE,a,
Switzerland,Suíça,SUI,a,
Togo,Togo,TOG,o,
Trinidad and Tobago,Trinidad e Tobago,TRI,,
Tunisia,Tunísia,TUN,a,
Turkey,Turquia,TUR,a,
Ukraine,Ucrânia,UKR,a,
United Arab Emirates,Emirados Árabes Unidos,UAE,os,
United States,Estados Unidos,USA,os,
Uruguay,Uruguai,URU,o,
Uzbekistan,Uzbequistão,UZB,o,
Wales,País de Gales,WAL,o,
